x,y,w_right,w_left
5.7200,4.6700,0.7919,0.7919
5.7100,4.6700,0.7889,0.7889
5.7000,4.6700,0.7860,0.7860
5.6900,4.6700,0.7832,0.7832
5.6800,4.6700,0.7806,0.7806
5.6700,4.6600,0.7877,0.7877
5.6600,4.6600,0.7853,0.7853
5.6500,4.6600,0.7829,0.7829
5.6400,4.6600,0.7807,0.7807
5.6300,4.6600,0.7786,0.7786
5.6200,4.6600,0.7766,0.7766
5.6100,4.6500,0.7846,0.7846
5.6000,4.6500,0.7828,0.7828
5.5900,4.6500,0.7812,0.7812
5.5800,4.6500,0.7797,0.7797
5.5700,4.6500,0.7782,0.7782
5.5600,4.6500,0.7769,0.7769
5.5500,4.6500,0.7757,0.7757
5.5400,4.6500,0.7746,0.7746
5.5300,4.6500,0.7737,0.7737
5.5200,4.6500,0.7728,0.7728
5.5100,4.6500,0.7721,0.7721
5.5000,4.6400,0.7814,0.7814
5.4900,4.6400,0.7809,0.7809
5.4800,4.6400,0.7805,0.7805
5.4700,4.6400,0.7802,0.7802
5.4600,4.6400,0.7801,0.7801
5.4500,4.6400,0.7800,0.7800
5.4400,4.6300,0.7900,0.7900
5.4300,4.6300,0.7900,0.7900
5.4200,4.6300,0.7900,0.7900
5.4100,4.6300,0.7900,0.7900
5.4000,4.6300,0.7900,0.7900
5.3900,4.6300,0.7900,0.7900
5.3800,4.6300,0.7884,0.7884
5.3700,4.6300,0.7865,0.7865
5.3600,4.6300,0.7846,0.7846
5.3500,4.6200,0.7927,0.7927
5.3400,4.6200,0.7911,0.7911
5.3300,4.6200,0.7896,0.7896
5.3200,4.6200,0.7881,0.7881
5.3100,4.6200,0.7868,0.7868
5.3000,4.6200,0.7857,0.7857
5.2900,4.6200,0.7846,0.7846
5.2800,4.6200,0.7836,0.7836
5.2700,4.6200,0.7828,0.7828
5.2600,4.6100,0.7920,0.7920
5.2500,4.6100,0.7914,0.7914
5.2400,4.6100,0.7909,0.7909
5.2300,4.6100,0.7905,0.7905
5.2200,4.6100,0.7902,0.7902
5.2100,4.6000,0.8001,0.8001
5.2000,4.6000,0.8000,0.8000
5.1900,4.6000,0.8000,0.8000
5.1800,4.6000,0.8000,0.8000
5.1700,4.6000,0.8000,0.8000
5.1600,4.6000,0.8000,0.8000
5.1500,4.6000,0.7994,0.7994
5.1400,4.6000,0.7981,0.7981
5.1300,4.6000,0.7963,0.7963
5.1200,4.6000,0.7944,0.7944
5.1100,4.6000,0.7927,0.7927
5.1000,4.6000,0.7911,0.7911
5.0900,4.5900,0.7994,0.7994
5.0800,4.5900,0.7981,0.7981
5.0700,4.5900,0.7968,0.7968
5.0600,4.5900,0.7956,0.7956
5.0500,4.5900,0.7945,0.7945
5.0400,4.5900,0.7936,0.7936
5.0300,4.5800,0.8027,0.8027
5.0200,4.5800,0.8020,0.8020
5.0100,4.5800,0.8014,0.8014
5.0000,4.5800,0.8009,0.8009
4.9900,4.5800,0.8005,0.8005
4.9800,4.5800,0.8002,0.8002
4.9700,4.5800,0.8001,0.8001
4.9600,4.5800,0.8000,0.8000
4.9500,4.5800,0.8000,0.8000
4.9400,4.5700,0.8100,0.8100
4.9300,4.5700,0.8100,0.8100
4.9200,4.5700,0.8101,0.8101
4.9100,4.5700,0.8102,0.8102
